# Construct											
#OTU ID	W1	F1	F2	W2	taxonomy						
Otu6369	0	0	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales	 Simkaniaceae	 Simkania	 Simkania_negevensis
Otu6366	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Jiangellaceae	 Jiangella	
Otu4456	0	0	0	0	Bacteria	 Proteobacteria	 Betaproteobacteria				
Otu6364	0	0	3	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Brevibacillus	 Brevibacillus_fluminis
Otu6365	0	0	0	0	Bacteria						
Otu6362	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Nocardiaceae	 Nocardia	
Otu6363	0	10	2	1	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu6360	0	0	0	0	Bacteria	 Elusimicrobia	 Elusimicrobia	 Elusimicrobiales	 Elusimicrobiaceae	 Elusimicrobium	 Elusimicrobium_minutum
Otu4457	0	1	0	0	Bacteria	 Chloroflexi					
Otu7404	0	0	0	0	Bacteria	 Proteobacteria					
Otu4454	0	4	2	0	Bacteria						
Otu7405	0	0	1	2	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu4455	0	0	0	0	Bacteria						
Otu7406	0	0	2	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales			
Otu7407	0	0	0	0	Bacteria	 Proteobacteria	 Alphaproteobacteria				
Otu7400	0	0	0	0	Bacteria						
Otu7401	0	0	0	0	Bacteria						
Otu7402	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae		
Otu7403	0	0	0	0	Bacteria	 Firmicutes	 Erysipelotrichia	 Erysipelotrichales	 Erysipelotrichaceae	 Faecalitalea	 Faecalitalea_cylindroides
Otu3853	3	0	0	1	Bacteria	 Firmicutes					
Otu3852	4	0	2	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Pseudobacteroides	 Pseudobacteroides_cellulosolvens
Otu3851	0	0	0	0	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu4806	0	5	1	1	Bacteria						
Otu4801	1	0	0	1	Bacteria	 Verrucomicrobia	 Opitutae	 Opitutales	 Opitutaceae	 Opitutus	 Opitutus_terrae
Otu4800	1	3	4	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto	
Otu3855	0	3	1	2	Bacteria						
Otu3854	0	0	0	0	Bacteria						
Otu3859	1	2	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu3858	0	0	0	0	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu4809	0	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Chromatiales			
Otu4808	1	0	0	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Rickettsiaceae		
Otu4422	0	0	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp6	 Unclassified	 Unclassified	 Gp6	
Otu8016	0	0	0	0	Bacteria	 Armatimonadetes	 Unclassified	 Unclassified	 Unclassified	 Armatimonadetes_gp4	
Otu8017	0	0	0	0	Bacteria	 Verrucomicrobia	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 bacterium_Ellin5102
Otu8014	0	4	0	0	Bacteria	 Planctomycetes	 Planctomycetia				
Otu7153	0	0	0	0	Bacteria						
Otu8015	1	0	2	0	Bacteria						
Otu8012	0	0	0	0	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales			
Otu8013	0	0	0	0	Bacteria						
Otu6779	0	2	1	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillales	 Thermicanus	 Thermicanus_aegyptius
Otu6778	0	1	1	0	Bacteria						
Otu6775	0	0	0	0	Bacteria	 Bacteroidetes					
Otu6774	0	1	2	0	Bacteria	 Proteobacteria	 Alphaproteobacteria				
Otu6777	3	1	0	4	Bacteria	 Acidobacteria	 Acidobacteria_Gp10	 Unclassified	 Unclassified	 Gp10	
Otu6776	0	0	0	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Prevotellaceae	 Prevotella	
Otu6771	0	0	0	0	Bacteria						
Otu6770	0	0	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales	 Parachlamydiaceae		
Otu6773	0	0	2	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales			
Otu6772	0	0	0	1	Bacteria						
Otu2094	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria				
