# Construct											
#OTU ID	W1	F1	F2	W2	taxonomy						
Otu1162	0	3	2	2	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micromonosporaceae		
Otu1169	0	0	0	0	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu1168	0	14	9	0	Bacteria	 Proteobacteria	 Betaproteobacteria	 Methylophilales	 Methylophilaceae	 Methylotenera	 Methylotenera_versatilis
Otu5938	0	0	3	0	Bacteria	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 WPS_1	
Otu5939	0	0	0	0	Bacteria	 Chloroflexi	 Ktedonobacteria	 Ktedonobacterales	 Thermosporotrichaceae	 Thermosporothrix	 Thermosporothrix_hazakensis
Otu5932	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu5933	0	0	1	0	Bacteria	 Bacteroidetes	 Bacteroidia	 Bacteroidales	 Porphyromonadaceae	 Porphyromonas	 Porphyromonas_asaccharolytica
Otu5930	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu5931	0	0	0	0	Bacteria						
Otu5936	1	1	0	1	Bacteria	 Fibrobacteres	 Fibrobacteria	 Fibrobacterales	 Fibrobacteraceae	 Fibrobacter	 Fibrobacter_intestinalis
Otu5937	0	1	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Coxiellaceae	 Diplorickettsia	 Diplorickettsia_massiliensis
Otu5934	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu5935	0	0	0	0	Bacteria						
Otu3004	0	4	4	0	Bacteria	 Actinobacteria	 Actinobacteria	 Gaiellales	 Gaiellaceae	 Gaiella	 Gaiella_occulta
Otu3005	0	6	8	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Pseudonocardiaceae	 Saccharopolyspora	 Saccharopolyspora_hordei
Otu3006	2	3	3	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp6	 Unclassified	 Unclassified	 Gp6	
Otu3007	1	1	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Solirubrobacterales	 Solirubrobacteraceae	 Solirubrobacter	
Otu3000	4	0	0	4	Bacteria						
Otu3001	0	2	2	0	Bacteria						
Otu3002	1	0	1	4	Bacteria						
Otu3003	0	1	0	0	Bacteria						
Otu3008	0	1	1	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Clostridium_III	 Clostridium_alkalicellulosi
Otu3009	0	0	1	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales			
Otu6088	0	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Coxiellaceae	 Aquicella	 Aquicella_siphonis
Otu5520	0	0	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales	 Parachlamydiaceae	 Parachlamydia	 Parachlamydia_acanthamoebae
Otu3149	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Streptomycetaceae	 Streptomyces	
Otu3148	0	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu828	0	6	13	1	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu829	1	4	4	3	Bacteria						
Otu3141	1	0	2	0	Bacteria	 Planctomycetes	 Planctomycetia				
Otu3140	0	0	0	0	Bacteria	 Proteobacteria	 Alphaproteobacteria				
Otu3143	1	1	0	1	Bacteria						
Otu821	8	9	10	2	Bacteria	 Proteobacteria	 Betaproteobacteria	 Rhodocyclales	 Rhodocyclaceae	 Azoarcus	 Azoarcus_olearius
Otu3145	0	0	0	2	Bacteria	 Actinobacteria	 Actinobacteria	 Acidimicrobiales			
Otu3144	0	0	0	0	Bacteria						
Otu3147	0	0	0	0	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	 TM7_phylum
Otu3146	0	1	1	2	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae		
Otu1891	3	2	3	2	Bacteria						
Otu1890	99	57	45	99	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Bradyrhizobiaceae	 Bradyrhizobium	
Otu1893	2	4	2	0	Bacteria	 Chloroflexi					
Otu1892	5	7	4	4	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Comamonadaceae	 Pelomonas	 Pelomonas_saccharophila
Otu1895	1	0	0	0	Bacteria						
Otu1894	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Labilitrichaceae	 Labilithrix	 Labilithrix_luteola
Otu1897	0	0	0	0	Bacteria						
Otu1896	2	4	3	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu1899	0	0	0	0	Bacteria						
Otu1898	0	4	4	0	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu1769	1	0	0	0	Bacteria						
Otu1768	9	14	6	6	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu1763	1	1	0	11	Bacteria	 Acidobacteria	 Acidobacteria_Gp3	 Unclassified	 Unclassified	 Gp3	
Otu1762	0	0	0	1	Bacteria						
Otu1761	0	2	2	1	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu1760	3	16	14	7	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales			
Otu1767	0	8	9	0	Bacteria	 Actinobacteria	 Actinobacteria	 Solirubrobacterales	 Solirubrobacteraceae	 Solirubrobacter	 Solirubrobacter_phytolaccae
Otu1766	2	1	2	2	Bacteria	 Verrucomicrobia	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 bacterium_Ellin5102
Otu1765	1	4	3	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Thermoactinomycetaceae	 Shimazuella	 Shimazuella_kribbensis
Otu1764	0	0	2	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Kofleriaceae	 Kofleria	 Kofleria_flava
Otu7398	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Solirubrobacterales	 Conexibacteraceae	 Conexibacter	 Conexibacter_arvalis
Otu7399	1	1	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Chitinophagaceae		
Otu8275	0	0	0	0	Bacteria						
Otu7390	0	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Coxiellaceae	 Coxiella	 Coxiella_burnetii
Otu7391	0	0	0	0	Bacteria						
Otu7392	0	0	0	0	Bacteria	 Cyanobacteria	 Cyanobacteria				
Otu7393	0	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu7394	0	0	0	0	Bacteria	 Verrucomicrobia	 Spartobacteria	 Unclassified	 Unclassified	 Spartobacteria	
Otu7395	3	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Kofleriaceae	 Kofleria	 Kofleria_flava
Otu7396	0	0	0	0	Bacteria						
Otu7397	0	0	0	0	Bacteria						
Otu5730	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Bdellovibrionales	 Bacteriovoracaceae	 Peredibacter	 Peredibacter_starrii
Otu5731	0	2	0	0	Bacteria	 Cyanobacteria	 Cyanobacteria	 Unclassified	 Family_I	 GpI	
Otu5732	0	1	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Bdellovibrionales	 Bdellovibrionaceae	 Bdellovibrio	 Bdellovibrio_bacteriovorus
Otu5733	0	1	0	1	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu5734	0	0	0	0	Archaea	 Euryarchaeota	 Thermoplasmata				
Otu5735	0	0	0	6	Bacteria	 Chloroflexi	 Ktedonobacteria	 Ktedonobacterales	 Ktedonobacteraceae	 Ktedonobacter	 Ktedonobacter_racemifer
Otu5736	0	0	2	1	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu5737	0	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Legionellaceae	 Legionella	
Otu5738	0	0	0	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Sandaracinaceae	 Sandaracinus	 Sandaracinus_amylolyticus
Otu5739	0	0	0	0	Bacteria						
Otu3366	5	7	0	1	Bacteria	 Proteobacteria	 Alphaproteobacteria				
Otu1420	0	6	1	3	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Polyangiaceae		
Otu1421	0	1	1	0	Bacteria	 Chloroflexi					
Otu1422	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfobacterales			
Otu1423	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Gaiellales	 Gaiellaceae	 Gaiella	 Gaiella_occulta
Otu1424	2	4	3	1	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micromonosporaceae	 Longispora	 Longispora_fulva
Otu1425	1	0	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales			
Otu1426	0	5	2	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp20	 Unclassified	 Unclassified	 Gp20	
Otu1427	0	0	0	0	Bacteria						
Otu1428	0	3	1	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales			
Otu1429	0	1	1	0	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu7642	3	4	1	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Kofleriaceae	 Kofleria	 Kofleria_flava
Otu7643	0	0	1	1	Bacteria	 Proteobacteria	 Alphaproteobacteria				
Otu7640	0	4	6	3	Bacteria						
Otu7641	0	0	0	0	Bacteria	 Armatimonadetes	 Unclassified	 Unclassified	 Unclassified	 Armatimonadetes_gp4	
Otu7646	0	0	0	0	Bacteria						
Otu7647	2	0	0	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Clostridium_XlVa	 Clostridium_aldenense
Otu7644	3	3	0	3	Bacteria	 Acidobacteria	 Acidobacteria_Gp10	 Unclassified	 Unclassified	 Gp10	
Otu7645	0	1	2	0	Bacteria	 Proteobacteria	 Betaproteobacteria	 Burkholderiales	 Oxalobacteraceae		
Otu7648	1	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu7649	0	3	1	0	Bacteria	 Firmicutes					
Otu1398	17	13	15	11	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae	 Hyphomicrobium	 Hyphomicrobium_facile
Otu1399	0	1	1	0	Bacteria	 Armatimonadetes	 Unclassified	 Unclassified	 Unclassified	 Armatimonadetes_gp4	
Otu1392	1	25	14	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Cystobacteraceae	 Anaeromyxobacter	 Anaeromyxobacter_dehalogenans
Otu1393	4	6	1	2	Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Acidaminococcaceae	 Phascolarctobacterium	
Otu1390	8	2	0	3	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae	 Gemmata	 Gemmata_obscuriglobus
Otu1391	3	7	3	2	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Chitinophagaceae	 Ferruginibacter	
Otu1396	0	4	1	1	Bacteria	 Acidobacteria	 Acidobacteria_Gp25	 Unclassified	 Unclassified	 Gp25	
Otu1397	3	5	9	4	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Pseudonocardiaceae	 Pseudonocardia	
Otu1394	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Paenibacillus	 Paenibacillus_algorifonticola
Otu1395	0	6	13	0	Bacteria	 Actinobacteria					
Otu4867	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Lachnospiraceae	 Clostridium_XlVa	
Otu4866	0	0	0	0	Bacteria	 Latescibacteria	 Unclassified	 Unclassified	 Unclassified	 Latescibacteria	
Otu4865	0	0	0	0	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu4864	2	0	0	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Syntrophomonadaceae		
Otu4863	0	0	0	0	Bacteria						
Otu3382	0	0	1	0	Bacteria						
Otu4861	10	7	6	34	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micromonosporaceae		
Otu3380	3	0	1	7	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Arenimonas	 Arenimonas_daechungensis
Otu4069	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Acidimicrobiales	 Iamiaceae	 Aquihabitans	 Aquihabitans_daechungensis
Otu4068	0	4	2	0	Bacteria						
Otu4067	1	2	4	0	Bacteria						
Otu4066	1	3	1	1	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Chitinophagaceae		
Otu4065	0	9	2	3	Bacteria	 Armatimonadetes	 Unclassified	 Unclassified	 Unclassified	 Armatimonadetes_gp4	
Otu4064	0	0	0	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Alphaproteobacteria_incertae_sedis	 Unclassified	 Geminicoccus	 Geminicoccus_roseus
Otu4063	0	0	0	0	Bacteria	 Proteobacteria					
Otu4062	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto	 Clostridium_thermopalmarium
Otu4061	2	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	
Otu4060	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales			
Otu7118	1	0	0	0	Bacteria						
Otu7119	0	0	0	0	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Cytophagaceae	 Hymenobacter	
Otu6511	0	0	0	0	Bacteria						
Otu6510	0	0	0	0	Bacteria						
Otu6513	25	0	0	22	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Pseudonocardiaceae		
Otu6512	0	0	2	0	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu6515	0	0	0	0	Bacteria	 Proteobacteria					
Otu4869	0	0	1	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales			
Otu6517	0	2	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Clostridium_III	 Clostridium_stercorarium
Otu6516	0	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu6519	0	0	1	0	Bacteria	 Proteobacteria					
Otu6518	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Acidimicrobiales			
Otu4868	0	0	0	0	Bacteria	 Parcubacteria	 Unclassified	 Unclassified	 Unclassified	 Parcubacteria	
Otu7114	1	0	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales			
Otu7115	0	0	0	0	Bacteria	 Proteobacteria					
Otu7112	0	0	0	0	Bacteria	 Proteobacteria	 Alphaproteobacteria				
Otu7113	1	0	0	1	Bacteria	 Verrucomicrobia	 Spartobacteria	 Unclassified	 Unclassified	 Spartobacteria	 Chthoniobacter_flavus
Otu8456	1	0	1	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Actinomycetaceae	 Actinomyces	 Actinomyces_oris
Otu4609	15	138	0	2	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Pseudonocardiaceae	 Actinophytocola	
Otu4608	0	0	0	0	Bacteria						
Otu7110	0	0	0	0	Bacteria	 Chloroflexi	 Ktedonobacteria	 Ktedonobacterales	 Thermosporotrichaceae	 Thermosporothrix	 Thermosporothrix_hazakensis
Otu8457	0	0	0	0	Bacteria	 Acidobacteria					
Otu4603	0	0	0	0	Bacteria	 Chloroflexi	 Chloroflexia	 Chloroflexales	 Chloroflexaceae		
Otu4602	0	0	0	0	Bacteria						
Otu4601	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae_2	 Amphibacillus	
Otu4600	0	0	0	0	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 Tepidisphaeraceae	 Tepidisphaera	 Tepidisphaera_mucosa
Otu4607	0	0	0	0	Bacteria						
Otu4606	0	0	0	0	Bacteria	 Chloroflexi	 Chloroflexia	 Chloroflexales			
Otu4605	1	1	1	0	Bacteria						
Otu4604	6	2	0	7	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu8455	0	0	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp6	 Unclassified	 Unclassified	 Gp6	
Otu8452	0	1	1	0	Bacteria						
Otu8453	2	0	1	0	Bacteria	 Spirochaetes	 Spirochaetia	 Spirochaetales	 Spirochaetaceae	 Treponema	
Otu8450	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Thermomonosporaceae		
Otu7707	0	0	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillales_incertae_sedis	 Desulfuribacillus	 Desulfuribacillus_alkaliarsenatis
Otu8451	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu7706	0	0	0	0	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu1446	0	2	5	1	Bacteria	 Verrucomicrobia					
Otu1447	15	2	0	10	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae	 Aquisphaera	 Aquisphaera_giovannonii
Otu7705	0	0	0	0	Bacteria						
Otu129	1	55	45	2	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu128	24	112	75	17	Bacteria						
Otu127	31	14	31	48	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae	 Devosia	 Devosia_insulae
Otu126	69	88	107	55	Bacteria	 Acidobacteria	 Acidobacteria_Gp6	 Unclassified	 Unclassified	 Gp6	
Otu125	21	2	1	2	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Rhodospirillaceae		
Otu124	3	62	90	5	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Nocardioidaceae	 Nocardioides	 Nocardioides_iriomotensis
Otu123	1	22	9	2	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Xanthomonadaceae	 Lysobacter	 Lysobacter_niabensis
Otu122	11	187	137	23	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	
Otu121	744	108	103	927	Bacteria	 Firmicutes					
Otu120	1	11	10	2	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu6857	0	0	1	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Acetobacteraceae		
Otu7704	0	1	0	1	Bacteria	 Actinobacteria	 Actinobacteria				
Otu2528	3	8	1	0	Bacteria						
Otu2529	0	1	5	0	Bacteria	 Verrucomicrobia	 Spartobacteria	 Unclassified	 Unclassified	 Spartobacteria	
Otu5897	0	0	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp25	 Unclassified	 Unclassified	 Gp25	
Otu5896	1	0	1	1	Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Veillonellaceae	 Sporomusa	 Sporomusa_termitida
Otu5891	0	1	0	0	Bacteria	 Cyanobacteria	 Cyanobacteria	 Unclassified	 Family_V	 GpV	
Otu5890	0	1	0	0	Bacteria						
Otu5893	0	0	0	0	Bacteria	 Armatimonadetes	 Unclassified	 Unclassified	 Unclassified	 Armatimonadetes_gp5	
Otu5892	0	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu2520	0	0	0	0	Bacteria						
Otu2521	0	0	0	0	Bacteria						
Otu2522	25	118	90	26	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Streptomycetaceae	 Streptomyces	
Otu2523	0	1	0	0	Bacteria						
Otu2524	0	0	0	0	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu2525	0	0	1	0	Bacteria						
Otu2526	0	0	1	3	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales	 Coxiellaceae	 Diplorickettsia	 Diplorickettsia_massiliensis
Otu2527	3	0	0	1	Bacteria	 Planctomycetes	 Phycisphaerae				
Otu6850	0	0	0	0	Bacteria						
Otu7703	0	0	0	0	Bacteria						
Otu1448	0	0	3	0	Bacteria	 Proteobacteria					
Otu8056	0	0	0	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp12	 Unclassified	 Unclassified	 Gp12	
Otu1449	9	7	7	11	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Cryptosporangiaceae	 Cryptosporangium	 Cryptosporangium_aurantiacum
Otu7948	0	0	0	0	Bacteria						
Otu1950	2	0	0	2	Bacteria	 Actinobacteria	 Actinobacteria	 Coriobacteriales	 Coriobacteriaceae	 Collinsella	 Collinsella_aerofaciens
Otu1951	0	1	4	0	Bacteria						
Otu1952	0	7	1	6	Bacteria						
Otu1953	1	0	2	0	Bacteria	 Actinobacteria	 Actinobacteria	 Acidimicrobiales	 Iamiaceae	 Iamia	 Iamia_majanohamensis
Otu1954	0	0	1	0	Bacteria						
Otu1955	2	2	6	3	Bacteria	 Acidobacteria	 Acidobacteria_Gp6	 Unclassified	 Unclassified	 Gp6	
Otu1956	0	10	9	0	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu1957	1	3	3	4	Bacteria	 Acidobacteria	 Acidobacteria_Gp13	 Unclassified	 Unclassified	 Gp13	
Otu1958	4	3	0	4	Bacteria						
Otu1959	0	0	1	0	Bacteria	 Actinobacteria	 Actinobacteria	 Solirubrobacterales	 Patulibacteraceae	 Patulibacter	 Patulibacter_minatonensis
Otu6851	0	0	0	0	Bacteria						
Otu7702	0	0	0	0	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales			
Otu8058	0	0	1	0	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu7946	1	10	7	0	Bacteria	 Actinobacteria	 Actinobacteria	 Solirubrobacterales	 Conexibacteraceae	 Conexibacter	 Conexibacter_arvalis
Otu6852	1	0	0	0	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu7701	0	0	0	1	Bacteria	 Firmicutes	 Negativicutes	 Selenomonadales	 Acidaminococcaceae	 Phascolarctobacterium	 Phascolarctobacterium_succinatutens
Otu7188	0	0	0	1	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Ruminococcaceae	 Acetanaerobacterium	 Acetanaerobacterium_elongatum
Otu7237	0	1	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Cohnella	
Otu7092	0	1	0	1	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu7700	0	0	0	0	Bacteria						
Otu6357	0	0	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales			
Otu6356	0	0	0	0	Bacteria						
Otu5743	0	2	0	0	Bacteria	 Armatimonadetes	 Unclassified	 Unclassified	 Unclassified	 Armatimonadetes_gp4	
Otu6354	0	0	0	0	Bacteria	 Chloroflexi	 Caldilineae	 Caldilineales	 Caldilineaceae	 Caldilinea	
Otu6353	1	0	0	1	Bacteria	 Proteobacteria	 Deltaproteobacteria				
Otu6352	0	0	0	0	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Micrococcaceae	 Rothia	 Rothia_mucilaginosa
Otu6351	0	0	0	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Sphingobacteriaceae		
Otu6350	0	0	0	1	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae	 Aquisphaera	 Aquisphaera_giovannonii
Otu7094	0	2	1	1	Bacteria						
Otu6359	0	0	0	0	Bacteria						
Otu6358	0	0	0	0	Bacteria						
Otu4908	0	0	2	0	Bacteria						
Otu3229	0	0	0	0	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Unclassified	 Ohtaekwangia	 Ohtaekwangia_koreensis
Otu3224	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales			
Otu5823	0	2	0	0	Bacteria	 Chloroflexi	 Thermomicrobia				
Otu3808	2	0	0	0	Bacteria	 Fusobacteria	 Fusobacteriia	 Fusobacteriales	 Fusobacteriaceae	 Fusobacterium	 Fusobacterium_varium
Otu3809	0	0	1	0	Bacteria	 Spirochaetes	 Spirochaetia	 Spirochaetales	 Leptospiraceae	 Leptospira	
Otu4858	1	0	0	2	Bacteria	 Bacteroidetes	 Cytophagia	 Cytophagales	 Unclassified	 Chryseolinea	 Chryseolinea_serpens
Otu4859	0	1	0	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Alphaproteobacteria_incertae_sedis	 Unclassified	 Rhizomicrobium	 Rhizomicrobium_electricum
Otu4856	0	3	3	0	Bacteria	 Parcubacteria	 Unclassified	 Unclassified	 Unclassified	 Parcubacteria	
Otu3805	0	3	0	0	Bacteria	 Firmicutes	 Clostridia				
Otu4854	0	0	0	0	Bacteria	 Candidatus_Saccharibacteria	 Unclassified	 Unclassified	 Unclassified	 Saccharibacteria	
Otu4855	0	0	0	0	Bacteria						
Otu4852	0	1	0	0	Bacteria	 Planctomycetes	 Planctomycetia	 Planctomycetales	 Planctomycetaceae		
Otu4853	0	0	0	0	Bacteria						
Otu3802	0	0	0	0	Bacteria						
Otu3803	0	3	2	0	Bacteria	 Bacteroidetes	 Sphingobacteriia	 Sphingobacteriales	 Chitinophagaceae	 Flavisolibacter	 Flavisolibacter_ginsengiterrae
Otu3227	2	4	3	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Alphaproteobacteria_incertae_sedis	 Unclassified	 Geminicoccus	 Geminicoccus_roseus
Otu3220	2	0	1	0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Amaricoccus	
Otu3221	0	1	0	0	Bacteria						
Otu6726	0	1	0	0	Bacteria						
Otu6727	0	0	0	0	Bacteria						
Otu6724	1	0	1	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales	 Parachlamydiaceae		
Otu6725	0	0	0	0	Bacteria	 Firmicutes					
Otu6722	0	2	0	0	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Paenibacillaceae	 Brevibacillus	
Otu3222	0	0	1	1	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales	 Propionibacteriaceae	 Propionibacterium	 Propionibacterium_granulosum
Otu6720	0	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales			
